dust_b16h,dust_city,dust_city_label,merge_score,receptor_b16h,receptor_city
04R,40205,CM-EN-Waza,477,04R,40501
2b1J,40606,CM-EN-Mogode,516,2b1J,40604
2bdY,40502,CM-EN-Tokombere,610,2bV,40102
2d6Z,40306,CM-EN-Wina,128,2dM,40301
2e3P,40108,CM-EN-Dargala,298,2eH,40402
444P,60403,CM-NW-Nijkwa,334,44M,60504
671K,10304,CM-AD-Ngaoui,374,67H,10303
815Y,90101,CM-SW-Limbe1,829,815Y,90106
837Z,90401,CM-SW-Kumba1,300,83M,90403
849T,50203,CM-LT-Dibombari,621,849T,50202
861P,50209,CM-LT-Penja,886,861P,50202
862N,90404,CM-SW-Kumba2,381,862N,90405
872K,50206,CM-LT-Loum,279,87H,50301
8d4N,80402,CM-OU-Bana,531,8d4N,50394
8f0P,60105,CM-NW-Santa,436,8f0P,90302
903Z,20203,CM-CE-BotMakak,830,903Z,50411
90dN,50411,CM-LT-Nyanon,414,90dN,20210
90eJ,50411,CM-LT-Nyanon,370,90V,50404
910K,20203,CM-CE-BotMakak,360,910K,20609
915Y,20904,CM-CE-Soa,957,915Y,20903
9a2N,80306,CM-OU-Koutaba,646,9a2N,80307
cbdN,20506,CM-CE-NkolMetet,1000,cbdN,20901
